mcts_task_by_completion_reward_gradient,2,2,100,63.9956,2995.17
mcts_task_by_completion_reward_gradient,2,2,100,66.5971,3128.57
mcts_task_by_completion_reward_gradient,2,2,100,71.8166,3256.75
mcts_task_by_completion_reward_gradient,2,2,100,75.1965,3381.56
mcts_task_by_completion_reward_gradient,2,2,100,91.2168,3490.34
mcts_task_by_completion_reward_gradient,2,2,100,98.9967,3591.34
mcts_task_by_completion_reward_gradient,2,2,100,113.414,3677.93
mcts_task_by_completion_reward_gradient,2,2,100,127.616,3750.31
mcts_task_by_completion_reward_gradient,2,2,100,181.658,3768.66
mcts_task_by_completion_reward_gradient,2,2,100,183.195,3785.46
mcts_task_by_completion_reward_gradient,3,2,100,5.62749,194.373
mcts_task_by_completion_reward_gradient,3,2,100,12.3871,381.985
mcts_task_by_completion_reward_gradient,3,2,100,15.1872,566.798
mcts_task_by_completion_reward_gradient,3,2,100,18.5851,748.213
mcts_task_by_completion_reward_gradient,3,2,100,19.1868,929.026
mcts_task_by_completion_reward_gradient,3,2,100,25.4376,1103.59
mcts_task_by_completion_reward_gradient,3,2,100,29.7867,1273.8
mcts_task_by_completion_reward_gradient,3,2,100,33.7867,1440.02
mcts_task_by_completion_reward_gradient,3,2,100,36.8477,1603.17
mcts_task_by_completion_reward_gradient,3,2,100,40.9875,1762.18
mcts_task_by_completion_reward_gradient,3,2,100,41.5875,1920.59
mcts_task_by_completion_reward_gradient,3,2,100,44.8382,2075.75
mcts_task_by_completion_reward_gradient,3,2,100,46.1846,2229.57
mcts_task_by_completion_reward_gradient,3,2,100,48.9869,2380.58
mcts_task_by_completion_reward_gradient,3,2,100,51.0377,2529.55
mcts_task_by_completion_reward_gradient,3,2,100,52.3867,2677.16
mcts_task_by_completion_reward_gradient,3,2,100,62.1872,2814.97
mcts_task_by_completion_reward_gradient,3,2,100,66.987,2947.98
mcts_task_by_completion_reward_gradient,3,2,100,73.4473,3074.54
mcts_task_by_completion_reward_gradient,3,2,100,74.1866,3200.35
mcts_task_by_completion_reward_gradient,3,2,100,84.9869,3315.36
mcts_task_by_completion_reward_gradient,3,2,100,88.828,3426.54
mcts_task_by_completion_reward_gradient,3,2,100,89.6475,3536.89
mcts_task_by_completion_reward_gradient,3,2,100,124.047,3612.84
mcts_task_by_completion_reward_gradient,4,2,100,7.11322,192.887
mcts_task_by_completion_reward_gradient,4,2,100,9.39274,383.494
mcts_task_by_completion_reward_gradient,4,2,100,15.7932,567.701
mcts_task_by_completion_reward_gradient,4,2,100,20.1113,747.59
mcts_task_by_completion_reward_gradient,4,2,100,24.1034,923.486
mcts_task_by_completion_reward_gradient,4,2,100,33.903,1089.58
mcts_task_by_completion_reward_gradient,4,2,100,34.9017,1254.68
mcts_task_by_completion_reward_gradient,4,2,100,36.1934,1418.49
mcts_task_by_completion_reward_gradient,4,2,100,42.7001,1575.79
mcts_task_by_completion_reward_gradient,4,2,100,42.9106,1732.88
mcts_task_by_completion_reward_gradient,4,2,100,45.3033,1887.57
mcts_task_by_completion_reward_gradient,4,2,100,54.7041,2032.87
mcts_task_by_completion_reward_gradient,4,2,100,68.7114,2164.16
mcts_task_by_completion_reward_gradient,4,2,100,79.1007,2285.06
mcts_task_by_completion_reward_gradient,4,2,100,94.9915,2390.07
mcts_task_by_completion_reward_gradient,4,2,100,98.1027,2491.96
mcts_task_by_completion_reward_gradient,4,2,100,107.701,2584.26
mcts_task_by_completion_reward_gradient,4,2,100,136.703,2647.56
mcts_task_by_completion_reward_gradient,4,2,100,159.791,2687.77
mcts_task_by_completion_reward_gradient,5,2,100,0.409475,199.591
mcts_task_by_completion_reward_gradient,5,2,100,3.80537,395.785
mcts_task_by_completion_reward_gradient,5,2,100,9.03328,586.752
mcts_task_by_completion_reward_gradient,5,2,100,15.595,771.157
mcts_task_by_completion_reward_gradient,5,2,100,21.9951,949.162
mcts_task_by_completion_reward_gradient,5,2,100,25.0353,1124.13
mcts_task_by_completion_reward_gradient,5,2,100,28.6353,1295.49
mcts_task_by_completion_reward_gradient,5,2,100,29.6049,1465.89
mcts_task_by_completion_reward_gradient,5,2,100,31.2049,1634.68
mcts_task_by_completion_reward_gradient,5,2,100,33.7951,1800.89
mcts_task_by_completion_reward_gradient,5,2,100,41.3955,1959.49
mcts_task_by_completion_reward_gradient,5,2,100,42.5945,2116.9
mcts_task_by_completion_reward_gradient,5,2,100,48.4353,2268.46
mcts_task_by_completion_reward_gradient,5,2,100,61.8353,2406.63
mcts_task_by_completion_reward_gradient,5,2,100,69.6056,2537.02
mcts_task_by_completion_reward_gradient,5,2,100,73.8056,2663.21
mcts_task_by_completion_reward_gradient,5,2,100,79.0049,2784.21
mcts_task_by_completion_reward_gradient,5,2,100,84.5948,2899.62
mcts_task_by_completion_reward_gradient,5,2,100,91.235,3008.38
mcts_task_by_completion_reward_gradient,5,2,100,95.2053,3113.17
mcts_task_by_completion_reward_gradient,5,2,100,98.005,3215.17
mcts_task_by_completion_reward_gradient,5,2,100,103.035,3312.13
mcts_task_by_completion_reward_gradient,5,2,100,112.594,3399.54
mcts_task_by_completion_reward_gradient,5,2,100,124.635,3474.91
mcts_task_by_completion_reward_gradient,5,2,100,174.195,3500.71
mcts_task_by_completion_reward_gradient,5,2,100,179.836,3520.88
mcts_task_by_completion_reward_gradient,5,2,100,238.433,3482.44
mcts_task_by_completion_reward_gradient,1,2,100,4.41687,195.583
mcts_task_by_completion_reward_gradient,1,2,100,4.79553,390.788
mcts_task_by_completion_reward_gradient,1,2,100,7.19569,583.592
mcts_task_by_completion_reward_gradient,1,2,100,8.01652,775.575
mcts_task_by_completion_reward_gradient,1,2,100,12.217,963.358
mcts_task_by_completion_reward_gradient,1,2,100,15.3962,1147.96
mcts_task_by_completion_reward_gradient,1,2,100,18.8166,1329.15
mcts_task_by_completion_reward_gradient,1,2,100,22.5952,1506.55
